date,total,leader,contender,laggard,weak,above_20,above_50,above_200,high_vol,acc_early,acc_progress,acc_shift,large_total,large_leaders,large_above200,mid_total,mid_leaders,mid_above200,small_total,small_leaders,small_above200,comm_uranium_total,comm_uranium_leaders,comm_uranium_above20,comm_uranium_above50,comm_uranium_above200,comm_uranium_high_vol,comm_uranium_acc_early,comm_uranium_producer_total,comm_uranium_producer_leaders,comm_uranium_producer_above200,comm_uranium_royalties_financial_services_total,comm_uranium_royalties_financial_services_leaders,comm_uranium_royalties_financial_services_above200,comm_uranium_large_total,comm_uranium_large_leaders,comm_uranium_large_above200,comm_uranium_mid_total,comm_uranium_mid_leaders,comm_uranium_mid_above200,comm_uranium_small_total,comm_uranium_small_leaders,comm_uranium_small_above200,comm_lithium_total,comm_lithium_leaders,comm_lithium_above20,comm_lithium_above50,comm_lithium_above200,comm_lithium_high_vol,comm_lithium_acc_early,comm_lithium_producer_total,comm_lithium_producer_leaders,comm_lithium_producer_above200,comm_lithium_large_total,comm_lithium_large_leaders,comm_lithium_large_above200,comm_lithium_mid_total,comm_lithium_mid_leaders,comm_lithium_mid_above200,comm_lithium_small_total,comm_lithium_small_leaders,comm_lithium_small_above200,comm_copper_total,comm_copper_leaders,comm_copper_above20,comm_copper_above50,comm_copper_above200,comm_copper_high_vol,comm_copper_acc_early,comm_copper_producer_total,comm_copper_producer_leaders,comm_copper_producer_above200,comm_copper_explorer_total,comm_copper_explorer_leaders,comm_copper_explorer_above200,comm_copper_large_total,comm_copper_large_leaders,comm_copper_large_above200,comm_copper_mid_total,comm_copper_mid_leaders,comm_copper_mid_above200,comm_copper_small_total,comm_copper_small_leaders,comm_copper_small_above200,comm_gold_total,comm_gold_leaders,comm_gold_above20,comm_gold_above50,comm_gold_above200,comm_gold_high_vol,comm_gold_acc_early,comm_gold_producer_total,comm_gold_producer_leaders,comm_gold_producer_above200,comm_gold_explorer_total,comm_gold_explorer_leaders,comm_gold_explorer_above200,comm_gold_royalties_financial_services_total,comm_gold_royalties_financial_services_leaders,comm_gold_royalties_financial_services_above200,comm_gold_large_total,comm_gold_large_leaders,comm_gold_large_above200,comm_gold_mid_total,comm_gold_mid_leaders,comm_gold_mid_above200,comm_gold_small_total,comm_gold_small_leaders,comm_gold_small_above200,comm_palladium_total,comm_palladium_leaders,comm_palladium_above20,comm_palladium_above50,comm_palladium_above200,comm_palladium_high_vol,comm_palladium_acc_early,comm_palladium_producer_total,comm_palladium_producer_leaders,comm_palladium_producer_above200,comm_palladium_explorer_total,comm_palladium_explorer_leaders,comm_palladium_explorer_above200,comm_palladium_royalties_financial_services_total,comm_palladium_royalties_financial_services_leaders,comm_palladium_royalties_financial_services_above200,comm_palladium_large_total,comm_palladium_large_leaders,comm_palladium_large_above200,comm_palladium_mid_total,comm_palladium_mid_leaders,comm_palladium_mid_above200,comm_palladium_small_total,comm_palladium_small_leaders,comm_palladium_small_above200,comm_silver_total,comm_silver_leaders,comm_silver_above20,comm_silver_above50,comm_silver_above200,comm_silver_high_vol,comm_silver_acc_early,comm_silver_explorer_total,comm_silver_explorer_leaders,comm_silver_explorer_above200,comm_silver_producer_total,comm_silver_producer_leaders,comm_silver_producer_above200,comm_silver_large_total,comm_silver_large_leaders,comm_silver_large_above200,comm_silver_mid_total,comm_silver_mid_leaders,comm_silver_mid_above200,comm_silver_small_total,comm_silver_small_leaders,comm_silver_small_above200,comm_platinum_total,comm_platinum_leaders,comm_platinum_above20,comm_platinum_above50,comm_platinum_above200,comm_platinum_high_vol,comm_platinum_acc_early,comm_platinum_explorer_total,comm_platinum_explorer_leaders,comm_platinum_explorer_above200,comm_platinum_producer_total,comm_platinum_producer_leaders,comm_platinum_producer_above200,comm_platinum_large_total,comm_platinum_large_leaders,comm_platinum_large_above200,comm_platinum_mid_total,comm_platinum_mid_leaders,comm_platinum_mid_above200,comm_platinum_small_total,comm_platinum_small_leaders,comm_platinum_small_above200,type_producer_total,type_producer_leaders,type_producer_above200,type__total,type__leaders,type__above200,type_explorer_total,type_explorer_leaders,type_explorer_above200,type_royalties_financial_services_total,type_royalties_financial_services_leaders,type_royalties_financial_services_above200
2025-03-05,332,0,0,170,162,0,0,0,58,0,0,0,115,0,0,111,0,0,106,0,0,62,0,0,0,0,6,0,61,0,0,1,0,0,14,0,0,14,0,0,34,0,0,39,0,0,0,0,5,0,39,0,0,26,0,0,11,0,0,2,0,0,81,0,0,0,0,26,0,76,0,0,5,0,0,28,0,0,26,0,0,27,0,0,103,0,0,0,0,11,0,64,0,0,29,0,0,10,0,0,38,0,0,47,0,0,18,0,0,9,0,0,0,0,3,0,7,0,0,1,0,0,1,0,0,4,0,0,1,0,0,4,0,0,30,0,0,0,0,6,0,6,0,0,24,0,0,5,0,0,11,0,0,14,0,0,4,0,0,0,0,1,0,2,0,0,2,0,0,0,0,0,1,0,0,3,0,0,273,0,0,4.0,0.0,0.0,43,0,0,12,0,0
2025-03-06,332,0,0,170,162,0,0,0,49,0,0,0,115,0,0,111,0,0,106,0,0,62,0,0,0,0,7,0,61,0,0,1,0,0,14,0,0,14,0,0,34,0,0,39,0,0,0,0,5,0,39,0,0,26,0,0,11,0,0,2,0,0,81,0,0,0,0,17,0,76,0,0,5,0,0,28,0,0,26,0,0,27,0,0,103,0,0,0,0,16,0,64,0,0,29,0,0,10,0,0,38,0,0,47,0,0,18,0,0,9,0,0,0,0,1,0,7,0,0,1,0,0,1,0,0,4,0,0,1,0,0,4,0,0,30,0,0,0,0,3,0,6,0,0,24,0,0,5,0,0,11,0,0,14,0,0,4,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,1,0,0,3,0,0,273,0,0,4.0,0.0,0.0,43,0,0,12,0,0
2025-03-07,332,0,0,170,162,0,0,0,36,0,0,0,115,0,0,111,0,0,106,0,0,62,0,0,0,0,8,0,61,0,0,1,0,0,14,0,0,14,0,0,34,0,0,39,0,0,0,0,2,0,39,0,0,26,0,0,11,0,0,2,0,0,81,0,0,0,0,7,0,76,0,0,5,0,0,28,0,0,26,0,0,27,0,0,103,0,0,0,0,14,0,64,0,0,29,0,0,10,0,0,38,0,0,47,0,0,18,0,0,9,0,0,0,0,1,0,7,0,0,1,0,0,1,0,0,4,0,0,1,0,0,4,0,0,30,0,0,0,0,4,0,6,0,0,24,0,0,5,0,0,11,0,0,14,0,0,4,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,1,0,0,3,0,0,273,0,0,4.0,0.0,0.0,43,0,0,12,0,0
2025-03-10,332,0,0,170,162,0,0,0,38,0,0,0,115,0,0,111,0,0,106,0,0,62,0,0,0,0,8,0,61,0,0,1,0,0,14,0,0,14,0,0,34,0,0,39,0,0,0,0,4,0,39,0,0,26,0,0,11,0,0,2,0,0,81,0,0,0,0,8,0,76,0,0,5,0,0,28,0,0,26,0,0,27,0,0,103,0,0,0,0,15,0,64,0,0,29,0,0,10,0,0,38,0,0,47,0,0,18,0,0,9,0,0,0,0,0,0,7,0,0,1,0,0,1,0,0,4,0,0,1,0,0,4,0,0,30,0,0,0,0,3,0,6,0,0,24,0,0,5,0,0,11,0,0,14,0,0,4,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,1,0,0,3,0,0,273,0,0,4.0,0.0,0.0,43,0,0,12,0,0
2025-03-11,332,0,0,170,162,0,0,0,58,0,0,0,115,0,0,111,0,0,106,0,0,62,0,0,0,0,10,0,61,0,0,1,0,0,14,0,0,14,0,0,34,0,0,39,0,0,0,0,4,0,39,0,0,26,0,0,11,0,0,2,0,0,81,0,0,0,0,18,0,76,0,0,5,0,0,28,0,0,26,0,0,27,0,0,103,0,0,0,0,18,0,64,0,0,29,0,0,10,0,0,38,0,0,47,0,0,18,0,0,9,0,0,0,0,2,0,7,0,0,1,0,0,1,0,0,4,0,0,1,0,0,4,0,0,30,0,0,0,0,5,0,6,0,0,24,0,0,5,0,0,11,0,0,14,0,0,4,0,0,0,0,1,0,2,0,0,2,0,0,0,0,0,1,0,0,3,0,0,273,0,0,4.0,0.0,0.0,43,0,0,12,0,0
2025-03-12,332,0,0,170,162,0,0,0,46,0,0,0,115,0,0,111,0,0,106,0,0,62,0,0,0,0,9,0,61,0,0,1,0,0,14,0,0,14,0,0,34,0,0,39,0,0,0,0,0,0,39,0,0,26,0,0,11,0,0,2,0,0,81,0,0,0,0,13,0,76,0,0,5,0,0,28,0,0,26,0,0,27,0,0,103,0,0,0,0,13,0,64,0,0,29,0,0,10,0,0,38,0,0,47,0,0,18,0,0,9,0,0,0,0,1,0,7,0,0,1,0,0,1,0,0,4,0,0,1,0,0,4,0,0,30,0,0,0,0,9,0,6,0,0,24,0,0,5,0,0,11,0,0,14,0,0,4,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,1,0,0,3,0,0,273,0,0,4.0,0.0,0.0,43,0,0,12,0,0
2025-03-13,332,0,0,170,162,0,0,0,54,0,0,0,115,0,0,111,0,0,106,0,0,62,0,0,0,0,4,0,61,0,0,1,0,0,14,0,0,14,0,0,34,0,0,39,0,0,0,0,0,0,39,0,0,26,0,0,11,0,0,2,0,0,81,0,0,0,0,11,0,76,0,0,5,0,0,28,0,0,26,0,0,27,0,0,103,0,0,0,0,23,0,64,0,0,29,0,0,10,0,0,38,0,0,47,0,0,18,0,0,9,0,0,0,0,0,0,7,0,0,1,0,0,1,0,0,4,0,0,1,0,0,4,0,0,30,0,0,0,0,14,0,6,0,0,24,0,0,5,0,0,11,0,0,14,0,0,4,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,1,0,0,3,0,0,273,0,0,4.0,0.0,0.0,43,0,0,12,0,0
2025-03-14,332,0,0,170,162,0,0,0,65,0,0,0,115,0,0,111,0,0,106,0,0,62,0,0,0,0,11,0,61,0,0,1,0,0,14,0,0,14,0,0,34,0,0,39,0,0,0,0,4,0,39,0,0,26,0,0,11,0,0,2,0,0,81,0,0,0,0,21,0,76,0,0,5,0,0,28,0,0,26,0,0,27,0,0,103,0,0,0,0,23,0,64,0,0,29,0,0,10,0,0,38,0,0,47,0,0,18,0,0,9,0,0,0,0,0,0,7,0,0,1,0,0,1,0,0,4,0,0,1,0,0,4,0,0,30,0,0,0,0,4,0,6,0,0,24,0,0,5,0,0,11,0,0,14,0,0,4,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,1,0,0,3,0,0,273,0,0,4.0,0.0,0.0,43,0,0,12,0,0
2025-03-17,332,0,0,170,162,234,0,0,60,0,0,0,115,0,0,111,0,0,106,0,0,62,0,18,0,0,7,0,61,0,0,1,0,0,14,0,0,14,0,0,34,0,0,39,0,24,0,0,5,0,39,0,0,26,0,0,11,0,0,2,0,0,81,0,53,0,0,10,0,76,0,0,5,0,0,28,0,0,26,0,0,27,0,0,103,0,94,0,0,28,0,64,0,0,29,0,0,10,0,0,38,0,0,47,0,0,18,0,0,9,0,8,0,0,2,0,7,0,0,1,0,0,1,0,0,4,0,0,1,0,0,4,0,0,30,0,30,0,0,7,0,6,0,0,24,0,0,5,0,0,11,0,0,14,0,0,4,0,3,0,0,0,0,2,0,0,2,0,0,0,0,0,1,0,0,3,0,0,273,0,0,4.0,0.0,0.0,43,0,0,12,0,0
2025-03-18,332,0,0,170,162,252,0,0,79,0,0,0,115,0,0,111,0,0,106,0,0,62,0,24,0,0,5,0,61,0,0,1,0,0,14,0,0,14,0,0,34,0,0,39,0,26,0,0,3,0,39,0,0,26,0,0,11,0,0,2,0,0,81,0,59,0,0,23,0,76,0,0,5,0,0,28,0,0,26,0,0,27,0,0,103,0,99,0,0,36,0,64,0,0,29,0,0,10,0,0,38,0,0,47,0,0,18,0,0,9,0,8,0,0,2,0,7,0,0,1,0,0,1,0,0,4,0,0,1,0,0,4,0,0,30,0,30,0,0,8,0,6,0,0,24,0,0,5,0,0,11,0,0,14,0,0,4,0,2,0,0,1,0,2,0,0,2,0,0,0,0,0,1,0,0,3,0,0,273,0,0,4.0,0.0,0.0,43,0,0,12,0,0
2025-03-19,332,0,0,170,162,264,0,0,63,0,0,0,115,0,0,111,0,0,106,0,0,62,0,37,0,0,16,0,61,0,0,1,0,0,14,0,0,14,0,0,34,0,0,39,0,26,0,0,2,0,39,0,0,26,0,0,11,0,0,2,0,0,81,0,63,0,0,20,0,76,0,0,5,0,0,28,0,0,26,0,0,27,0,0,103,0,95,0,0,19,0,64,0,0,29,0,0,10,0,0,38,0,0,47,0,0,18,0,0,9,0,8,0,0,1,0,7,0,0,1,0,0,1,0,0,4,0,0,1,0,0,4,0,0,30,0,30,0,0,5,0,6,0,0,24,0,0,5,0,0,11,0,0,14,0,0,4,0,2,0,0,0,0,2,0,0,2,0,0,0,0,0,1,0,0,3,0,0,273,0,0,4.0,0.0,0.0,43,0,0,12,0,0
2025-03-20,332,0,0,170,162,273,0,0,53,0,0,0,115,0,0,111,0,0,106,0,0,62,0,43,0,0,14,0,61,0,0,1,0,0,14,0,0,14,0,0,34,0,0,39,0,23,0,0,0,0,39,0,0,26,0,0,11,0,0,2,0,0,81,0,69,0,0,16,0,76,0,0,5,0,0,28,0,0,26,0,0,27,0,0,103,0,95,0,0,18,0,64,0,0,29,0,0,10,0,0,38,0,0,47,0,0,18,0,0,9,0,8,0,0,0,0,7,0,0,1,0,0,1,0,0,4,0,0,1,0,0,4,0,0,30,0,29,0,0,2,0,6,0,0,24,0,0,5,0,0,11,0,0,14,0,0,4,0,3,0,0,2,0,2,0,0,2,0,0,0,0,0,1,0,0,3,0,0,273,0,0,4.0,0.0,0.0,43,0,0,12,0,0
2025-03-21,332,0,0,170,162,261,0,0,121,0,0,0,115,0,0,111,0,0,106,0,0,62,0,42,0,0,21,0,61,0,0,1,0,0,14,0,0,14,0,0,34,0,0,39,0,20,0,0,10,0,39,0,0,26,0,0,11,0,0,2,0,0,81,0,65,0,0,31,0,76,0,0,5,0,0,28,0,0,26,0,0,27,0,0,103,0,92,0,0,47,0,64,0,0,29,0,0,10,0,0,38,0,0,47,0,0,18,0,0,9,0,8,0,0,2,0,7,0,0,1,0,0,1,0,0,4,0,0,1,0,0,4,0,0,30,0,29,0,0,7,0,6,0,0,24,0,0,5,0,0,11,0,0,14,0,0,4,0,2,0,0,2,0,2,0,0,2,0,0,0,0,0,1,0,0,3,0,0,273,0,0,4.0,0.0,0.0,43,0,0,12,0,0
2025-03-24,332,0,0,170,162,251,0,0,35,0,0,0,115,0,0,111,0,0,106,0,0,62,0,43,0,0,5,0,61,0,0,1,0,0,14,0,0,14,0,0,34,0,0,39,0,20,0,0,2,0,39,0,0,26,0,0,11,0,0,2,0,0,81,0,64,0,0,14,0,76,0,0,5,0,0,28,0,0,26,0,0,27,0,0,103,0,85,0,0,11,0,64,0,0,29,0,0,10,0,0,38,0,0,47,0,0,18,0,0,9,0,7,0,0,0,0,7,0,0,1,0,0,1,0,0,4,0,0,1,0,0,4,0,0,30,0,27,0,0,3,0,6,0,0,24,0,0,5,0,0,11,0,0,14,0,0,4,0,2,0,0,0,0,2,0,0,2,0,0,0,0,0,1,0,0,3,0,0,273,0,0,4.0,0.0,0.0,43,0,0,12,0,0
2025-03-25,332,0,0,170,162,251,0,0,39,0,0,0,115,0,0,111,0,0,106,0,0,62,0,41,0,0,4,0,61,0,0,1,0,0,14,0,0,14,0,0,34,0,0,39,0,18,0,0,1,0,39,0,0,26,0,0,11,0,0,2,0,0,81,0,63,0,0,15,0,76,0,0,5,0,0,28,0,0,26,0,0,27,0,0,103,0,89,0,0,12,0,64,0,0,29,0,0,10,0,0,38,0,0,47,0,0,18,0,0,9,0,8,0,0,0,0,7,0,0,1,0,0,1,0,0,4,0,0,1,0,0,4,0,0,30,0,26,0,0,6,0,6,0,0,24,0,0,5,0,0,11,0,0,14,0,0,4,0,3,0,0,0,0,2,0,0,2,0,0,0,0,0,1,0,0,3,0,0,273,0,0,4.0,0.0,0.0,43,0,0,12,0,0
